Repo Name,PRs Opened (<1 days),PRs Opened Int (<1 days),PRs Opened Ext (<1 days),PRs Opened FTC (<1 days),PRs Merged (<1 days),PR turnaround time (<1 days),PRs Closed (<1 days),PRs Open (all time),PR turnaround time (all time),Total PRs (all time),Total PRs Int (all time),Total PRs Ext (all time),Issues Opened (<1 days),Issues Opened Int (<1 days),Issues Opened Ext (<1 days),Issues Opened FTC (<1 days),Issues Closed (<1 days),Total Issues (all time),Total Issues Int (all time),Total Issues Ext (all time),Open Issues (all time),Stale Issues (>14),% Stale Issues (all time),Old Issues (>120),% Old Issues (all time),% Issues Closed by PR (all time),Average Issue open days (all time),Contributors (<1 days),Contributors Int (<1 days),Contributors Ext (<1 days),Contributors FTC (<1 days),Contributors (all time),Contributors Int (all time),Contributors Ext (all time),Stars (all time),Watches (all time),Forks (all time)
report-energy-transition,0,0,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,1,1,0
report-vaccine-inequality,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-state-of-democracy-ap,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
themes360info,0,0,0,0,0,N/A,0,0,59,3,3,0,0,0,0,0,0,8,8,0,2,2,100%,2,100%,0%,48,0,0,0,0,1,1,0,4,1,0
internship-gender-equality,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2,0
report-alternative-to-davos,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-wildfires,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-hotter-and-hotter,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-forms-of-protest,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
sandbox-colourschemes,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
superdesk-wordpress-plugin,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
report-misinformation-infodemiology,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
360info-wordpress-plugin,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
embed-footer-generator,0,0,0,0,0,N/A,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,1,0
quarto-scaffold,0,0,0,0,0,N/A,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,3,1,0
report-international-womens-day,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-nuclear-weapons,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-global-education,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
report-pandemic-warning-systems,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-final-frontiers,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0
.github,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
internship-biodiversity-redlist,0,0,0,0,0,N/A,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,2,0
report-satellites-conflict,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-press-freedom,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
360-plot-rethemer,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-platforms-power,0,0,0,0,0,N/A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,2,2,0
internship-women-in-sport,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2,0
internship-food-waste,0,0,0,0,0,N/A,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,2,0
internship-migration,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,1,1,0,0,0,N/A,0,N/A,0%,34,0,0,0,0,1,1,0,0,2,0
report-revivingoceans,0,0,0,0,0,N/A,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,1,1,0,0,1,0
report-asteroids,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
report-extremeheat,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0
internship-reproductive-rights,0,0,0,0,0,N/A,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2,0
